"","siteID","panel","X.x","xcoord","ycoord","mdcaty.x","wgt","stratum.x","EvalStatus.x","EvalReason","OBJECTID_1","OBJECTID.x","FID_bnl_Se","FID_bnl_ba","Shape_Leng","Area","Acres","Hectares","Shape_Le_1","Shape_Area","coords.x1","coords.x2","X.1","mdcaty.y","stratum.y","OBJECTID.y","F1","EvalStatus.y","EvalWater","EvalBugs","EvalSed","EvalRoot","Date_","Comments","SampleType","Sedtype","SeWater","SeBugs","SeSed","SeRoots","LabSampleNo","PlantType","X.y","Water.NT","Bugs.NT","Sed.NT","Root.NT","Water.TS","Bugs.TS","Sed.TS","Root.TS","Water.TN","Bugs.TN","Sed.TN","Root.TN","init.n","init.area","init.wgt","non.area.adj.wgt.sed","adj.area.sed","adj.wgt.sed","real.area.sed","real.wgt.sed","non.area.adj.wgt.water","adj.area.water","adj.wgt.water","non.area.adj.wgt.bugs","adj.area.bugs","adj.wgt.bugs","non.area.adj.wgt.root","adj.area.root","adj.wgt.root","real.area.root","real.wgt.root"
"1","BNLSe-001","PanelOne",1,471590.2886,5282536.799,"Saturated",24643.37461,"Unit 1","NotEval",NA,27,37,5,1,21372.30071,542154.2414,133.9692306,54.21542414,21372.30071,542154.2414,471590.2886,5282536.799,263,"Saturated","Unit 1",1,1,"TS","NN","NN","NT","TS","6/16/2014 0:00","Cattail roots","S","roots",NA,NA,NA,26.1,"1S","cattail",4,0,0,28,1,0,0,1,20,0,0,0,8,22,542154,24643.3636363636,542154,18694.9655172414,18694.9655172414,40947.3485,40947.3485,0,0,0,0,0,0,27107.7,523459.034482759,26172.9517241379,501206.6515,25060.332575
"2","BNLSe-002","PanelOne",2,472181.1367,5281548.248,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,472181.1367,5281548.248,16,"Flooded","Unit 1",2,2,"TS","NN","NN","TS","NT","7/28/2014 0:00","","W,S,I","sed",NA,NA,2.76,NA,"2S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"3","BNLSe-003","PanelOne",3,471694.0814,5281653.103,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471694.0814,5281653.103,18,"Flooded","Unit 1",3,3,"TS","NN","NN","TS","NT","7/29/2014 0:00","","W,S,I","sed",NA,NA,3.36,NA,"3S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"4","BNLSe-004","PanelOne",4,471094.206,5282008.399,"Saturated",24643.37461,"Unit 1","NotEval",NA,27,37,5,1,21372.30071,542154.2414,133.9692306,54.21542414,21372.30071,542154.2414,471094.206,5282008.399,266,"Saturated","Unit 1",4,4,"TS","NN","NN","NT","TS","7/1/2014 0:00","Garrison creeping foxtail roots","S","roots",NA,NA,NA,6.17,"4SR","garrison",4,0,0,28,1,0,0,1,20,0,0,0,8,22,542154,24643.3636363636,542154,18694.9655172414,18694.9655172414,40947.3485,40947.3485,0,0,0,0,0,0,27107.7,523459.034482759,26172.9517241379,501206.6515,25060.332575
"5","BNLSe-005","PanelOne",5,471202.354,5282397.688,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471202.354,5282397.688,15,"Flooded","Unit 1",5,5,"TS","NN","NN","NT","TS","7/8/2014 0:00","Garrison creeping foxtail roots","W,S,I","roots",NA,NA,NA,6.71,"5SR","garrison",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"6","BNLSe-006","PanelOne",6,471811.5931,5281251.915,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471811.5931,5281251.915,35,"Flooded","Unit 1",6,6,"TS","NN","NN","NT","TS","7/1/2014 0:00","Cattail roots","W,S,I","roots",NA,NA,NA,15,"6SR","cattail",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"7","BNLSe-007","PanelOne",7,471536.3224,5281473.859,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471536.3224,5281473.859,11,"Flooded","Unit 1",7,7,"TS","NN","NN","TS","NT","7/29/2014 0:00","","W,S,I","sed",NA,NA,1.95,NA,"7S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"8","BNLSe-008","PanelOne",8,470963.933,5281534.243,"Saturated",24643.37461,"Unit 1","NotEval",NA,27,37,5,1,21372.30071,542154.2414,133.9692306,54.21542414,21372.30071,542154.2414,470963.933,5281534.243,270,"Saturated","Unit 1",8,8,"TS","NN","NN","NT","TS","7/17/2014 0:00","Garrison creeping foxtail roots","S","roots",NA,NA,NA,4.55,"8SR","garrison",4,0,0,28,1,0,0,1,20,0,0,0,8,22,542154,24643.3636363636,542154,18694.9655172414,18694.9655172414,40947.3485,40947.3485,0,0,0,0,0,0,27107.7,523459.034482759,26172.9517241379,501206.6515,25060.332575
"9","BNLSe-009","PanelOne",9,472146.7617,5282187.987,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,472146.7617,5282187.987,24,"Flooded","Unit 1",9,9,"TS","NN","NN","NT","TS","7/9/2014 0:00","Lambsquarter roots, some salt sandspurry","W,S,I","roots",NA,NA,NA,23.3,"9SR","lambsquarter",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"10","BNLSe-010","PanelOne",10,472175.1418,5281684.596,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,472175.1418,5281684.596,25,"Flooded","Unit 1",10,10,"TS","NN","NN","TS","NT","7/9/2014 0:00","","W,S,I","sed",NA,NA,2.78,NA,"10S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
"11","BNLSe-011","PanelOne",11,471145.6495,5281621.239,"Flooded",12253.47125,"Unit 1","NotEval",NA,2,6,1,1,25101.25811,1115065.884,275.5387807,111.5065884,21406.73875,739967.8077,471145.6495,5281621.239,13,"Flooded","Unit 1",11,11,"TS","NN","NN","TS","NT","7/29/2014 0:00","","S,I","sed",NA,NA,4.95,NA,"11S","",2,0,0,52,79,0,0,79,38,0,0,0,14,91,1115066,12253.4725274725,14114.7594936709,672444.381679389,8511.95419847328,712722.6115,9021.80520886076,0,0,0,0,0,0,29343.8421052632,442621.618320611,11647.9373242266,402343.3885,10587.9839078947
